SPN,FMI,Başlık (TR),Alt Sistem,PGN,FMI Tanımı,Öncelik,Saha Adımı
647,7,Motor Soğutma Fanı Tahrik Kavraması - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Motor Soğutma & Termal Yönetim,65213 (FDC),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
1072,3,Motor Kompresyon Freni (Jake Brake) Çıkışı #1 - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Freni & Retarder,65214 (EBC1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
1072,4,Motor Kompresyon Freni (Jake Brake) Çıkışı #1 - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Freni & Retarder,65214 (EBC1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
1072,5,Motor Kompresyon Freni (Jake Brake) Çıkışı #1 - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Motor Freni & Retarder,65214 (EBC1),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
3216,2,"Katalizör Giriş NOx Sensörü (SCR Öncesi) - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
3216,3,Katalizör Giriş NOx Sensörü (SCR Öncesi) - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3216,4,Katalizör Giriş NOx Sensörü (SCR Öncesi) - Voltaj normalin altında veya şasiye (GND) kısa devre,SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3216,9,Katalizör Giriş NOx Sensörü (SCR Öncesi) - Anormal veri güncelleme hızı (CAN Zaman Aşımı),SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
3216,10,Katalizör Giriş NOx Sensörü (SCR Öncesi) - Anormal değişim hızı (Fiziksel Olarak İmkansız Sıçrama),SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),Abnormal Rate Of Change,LOW,Sensör içindeki elemanın gevşediğini veya soket pini korozyonunu inceleyin.
3216,19,Katalizör Giriş NOx Sensörü (SCR Öncesi) - Ağdan hatalı veri alındı (CAN Mesaj Bozulması),SCR & DEF Dozaj Emisyon Sistemi,61454 (AT1IG1),Received Network Data In Error,LOW,Veri yolunda 120Ω hat sonlandırma direncini ve CAN-H/CAN-L sinyal gürültüsünü test edin.
3226,2,"Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
3226,3,Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3226,4,Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Voltaj normalin altında veya şasiye (GND) kısa devre,SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3226,9,Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Anormal veri güncelleme hızı (CAN Zaman Aşımı),SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),Abnormal Update Rate,LOW,Sensör veya kaynak modülün CAN-Bus hattına bağlı olduğunu ve adres aldığını (Address Claim) doğrulayın.
3226,10,Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Anormal değişim hızı (Fiziksel Olarak İmkansız Sıçrama),SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),Abnormal Rate Of Change,LOW,Sensör içindeki elemanın gevşediğini veya soket pini korozyonunu inceleyin.
3226,19,Katalizör Çıkış NOx Sensörü (SCR Sonrası) - Ağdan hatalı veri alındı (CAN Mesaj Bozulması),SCR & DEF Dozaj Emisyon Sistemi,61455 (AT1OG1),Received Network Data In Error,LOW,Veri yolunda 120Ω hat sonlandırma direncini ve CAN-H/CAN-L sinyal gürültüsünü test edin.
3556,3,DPF Hidrokarbon / Dizel Enjektörü (7. Enjektör) - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Egzoz & DPF Rejenerasyon Dozajı,64835 (HCD1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3556,4,DPF Hidrokarbon / Dizel Enjektörü (7. Enjektör) - Voltaj normalin altında veya şasiye (GND) kısa devre,Egzoz & DPF Rejenerasyon Dozajı,64835 (HCD1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3556,5,DPF Hidrokarbon / Dizel Enjektörü (7. Enjektör) - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),Egzoz & DPF Rejenerasyon Dozajı,64835 (HCD1),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
3556,7,DPF Hidrokarbon / Dizel Enjektörü (7. Enjektör) - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Egzoz & DPF Rejenerasyon Dozajı,64835 (HCD1),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
5246,0,EPA/Euro Yasal Emisyon İhlali - Ağır Tork Düşürme (Derate) - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),SCR & DEF Dozaj Emisyon Sistemi,64964 (EER),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
5246,15,EPA/Euro Yasal Emisyon İhlali - Ağır Tork Düşürme (Derate) - Veri normalin üzerinde (Hafif Uyarı Seviyesi),SCR & DEF Dozaj Emisyon Sistemi,64964 (EER),Data Valid But Above Normal - Least Severe Level,LOW,Filtre ve soğutma temizliği yapın; sistem henüz arıza lambası yakmamış olabilir.
5246,16,EPA/Euro Yasal Emisyon İhlali - Ağır Tork Düşürme (Derate) - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),SCR & DEF Dozaj Emisyon Sistemi,64964 (EER),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
1714,2,"Retarder Fren Torku Limiti - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Hidrolik & Elektromanyetik Retarder,61440 (ERC1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
1714,7,Retarder Fren Torku Limiti - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Hidrolik & Elektromanyetik Retarder,61440 (ERC1),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
1714,11,Retarder Fren Torku Limiti - Kök neden bilinmiyor (Genel Arıza Modu),Hidrolik & Elektromanyetik Retarder,61440 (ERC1),Root Cause Not Known,LOW,Öncelikli olarak Freeze Frame (DM4) verilerini ve motor çalışma koşullarını okuyun.
